time_s,dist_cm,dac_i2c
48.643,22.4843736,2600
48.796,63.984376,2608
48.95,63.984376,2616
49.109,63.984376,2624
49.269,63.984376,2632
49.422,63.984376,2640
49.577,63.984376,2648
49.735,63.984376,2656
49.893,63.984376,2664
50.095,63.984376,2672
50.254,63.984376,2680
50.414,63.984376,2688
50.572,63.984376,2696
50.729,63.984376,2704
50.89,63.984376,2712
51.05,63.984376,2720
51.209,63.984376,2728
51.372,63.984376,2736
51.53,63.984376,2744
51.686,63.984376,2752
51.849,63.984376,2760
52.017,63.984376,2768
52.174,63.984376,2776
52.332,63.984376,2784
52.488,63.984376,2792
52.682,63.984376,2800
52.843,63.984376,2808
53.001,63.984376,2816
53.163,63.984376,2824
53.321,63.984376,2832
53.478,63.984376,2840
53.637,63.984376,2848
53.795,63.984376,2856
53.953,63.984376,2864
54.11,63.984376,2872
54.274,63.984376,2880
54.435,63.984376,2888
54.595,63.984376,2896
54.753,63.984376,2904
54.909,63.984376,2912
55.067,63.984376,2920
55.274,63.984376,2928
55.433,63.984376,2936
55.595,63.984376,2944
55.753,63.984376,2952
55.915,63.984376,2960
56.073,63.984376,2968
56.235,63.984376,2976
56.395,63.984376,2984
56.556,63.984376,2992
56.722,63.984376,3000
56.915,63.984376,3008
57.056,63.984376,3016
57.193,63.984376,3024
57.34,63.984376,3032
57.481,63.984376,3040
57.622,63.984376,3048
57.803,63.984376,3056
57.948,63.984376,3064
58.093,63.984376,3072
58.231,63.984376,3080
58.371,63.984376,3088
58.509,63.984376,3096
58.649,63.984376,3104
58.793,63.984376,3112
58.936,63.984376,3120
59.076,63.984376,3128
59.22,63.984376,3136
59.364,63.984376,3144
59.505,63.984376,3152
59.646,63.984376,3160
59.788,63.984376,3168
59.928,63.984376,3176
60.118,63.984376,3184
60.261,63.984376,3192
60.406,63.984376,3200
60.548,63.984376,3208
60.689,63.984376,3216
60.839,63.984376,3224
60.98,63.984376,3232
61.125,63.984376,3240
61.268,63.984376,3248
61.412,63.984376,3256
61.555,63.984376,3264
61.697,63.984376,3272
61.839,63.984376,3280
61.981,63.984376,3288
62.123,63.984376,3296
62.271,63.984376,3304
62.452,63.984376,3312
62.597,63.984376,3320
62.739,63.984376,3328
62.884,63.984376,3336
63.026,63.984376,3344
63.17,63.984376,3352
63.312,63.984376,3360
63.46,63.984376,3368
63.604,63.984376,3376
63.752,63.984376,3384
63.899,63.984376,3392
64.043,63.984376,3400
64.187,63.984376,3408
64.331,63.984376,3416
64.474,63.984376,3424
64.621,63.984376,3432
64.818,63.984376,3440
